year,idind,x,y
2012,40901,"10","2"
2012,40902,"10","2"
2012,44745,"12","2"
2012,25385,"8","1"
2012,31449,"8","3"
2012,924,"12","2"
2012,28812,"12","2"
2012,922,"12","2"
2012,31451,"6","2"
2012,756,"6","3"
2012,22863,"12","2"
2012,25383,"8","3"
2012,44749,"8","3"
2012,44751,"8","3"
2012,44755,"8","1"
2012,44756,"8","4"
2012,44757,"12","4"
2012,44765,"12","1"
2012,44766,"8","1"
2012,44767,"8","2"
2012,44768,"12","2"
2012,44770,"12","3"
2012,44772,"8","4"
2012,44774,"8","2"
2012,44775,"8","3"
2012,44777,"8","2"
2012,44778,"8","3"
2012,11529,"8","3"
2012,20071,"8","3"
2012,44267,"12","2"
2012,40906,"9","4"
2012,33141,"8","4"
2012,33142,"12","3"
2012,44782,"6","1"
2012,25411,"8","2"
2012,44783,"8","2"
2012,33103,"8","1"
2012,20072,"6","2"
2012,44785,"8","2"
2012,33034,"12","3"
2012,33035,"12","2"
2012,40908,"8","2"
2012,44787,"6","2"
2012,44788,"8","3"
2012,44792,"12","4"
2012,44793,"12","5"
2012,44794,"12","3"
2012,44795,"8","3"
2012,18014,"7","2"
2012,20086,"7","3"
2012,20087,"24","3"
2012,16432,"7","3"
2012,1013,"7","3"
2012,1014,"9","3"
2012,25454,"24","1"
2012,25455,"8","2"
2012,25456,"7","3"
2012,28819,"6","2"
2012,28820,"12","3"
2012,25458,"10","2"
2012,25459,"8","2"
2012,28821,"9","2"
2012,31458,"7","2"
2012,31459,"8","2"
2012,25469,"7","3"
2012,25472,"7","3"
2012,25473,"8","2"
2012,25474,"8","2"
2012,25476,"11","3"
2012,25477,"8","3"
2012,25478,"8","1"
2012,25480,"12","3"
2012,25484,"7","3"
2012,25485,"8","3"
2012,25486,"8","3"
2012,25488,"9","2"
2012,25491,"12","3"
2012,25495,"6","3"
2012,25496,"7","2"
2012,40915,"12","3"
2012,25499,"14","4"
2012,25500,"7","3"
2012,28828,"7","1"
2012,1042,"8","2"
2012,25515,"8","4"
2012,1055,"8","3"
2012,24191,"7","4"
2012,1075,"7","3"
2012,44805,"8","2"
2012,20089,"11","3"
2012,20090,"7","3"
2012,25508,"8","3"
2012,25510,"10","4"
2012,25511,"24","3"
2012,25513,"8","3"
2012,14495,"24","4"
2012,31465,"8","1"
2012,1090,"8","3"
2012,1091,"8","3"
2012,21553,"24","3"
2012,44808,"8","2"
2012,11590,"24","3"
2012,28090,"7","3"
2012,1110,"6","2"
2012,40918,"7","3"
2012,28091,"24","1"
2012,28092,"7","1"
2012,18022,"8","1"
2012,28833,"8","1"
2012,1132,"8","3"
2012,1136,"7","3"
2012,1138,"8","3"
2012,33225,"8","2"
2012,1143,"12","2"
2012,1144,"12","2"
2012,24194,"8","2"
2012,24195,"12","2"
2012,1139,"8","2"
2012,16441,"8","2"
2012,14501,"6","1"
2012,16445,"12","2"
2012,28103,"6","4"
2012,21560,"6","2"
2012,1164,"7","1"
2012,1173,"9","3"
2012,1174,"9","3"
2012,1155,"3","1"
2012,1156,"5","1"
2012,28101,"5","2"
2012,30231,"12","2"
2012,28105,"6","3"
2012,28106,"11","3"
2012,21572,"3","3"
2012,28084,"7","4"
2012,28095,"5","2"
2012,28096,"8","3"
2012,33237,"6","2"
2012,33238,"6","3"
2012,33241,"7","3"
2012,33242,"10","3"
2012,33244,"8","3"
2012,33245,"15","3"
2012,33248,"7","2"
2012,33249,"6","3"
2012,40921,"11","3"
2012,40922,"7","3"
2012,33252,"8","4"
2012,40924,"10","3"
2012,40925,"3","3"
2012,40929,"7","3"
2012,33255,"7","3"
2012,33256,"7","3"
2012,33257,"7","3"
2012,33260,"8","2"
2012,33262,"7","3"
2012,33263,"8","3"
2012,33266,"7","3"
2012,33267,"24","3"
2012,33270,"6","3"
2012,33271,"24","3"
2012,33273,"7","2"
2012,33281,"8","2"
2012,33284,"9","3"
2012,33288,"10","3"
2012,33289,"8","3"
2012,33292,"8","1"
2012,33296,"6","3"
2012,33298,"6","3"
2012,33302,"6","2"
2012,33305,"12","4"
2012,33306,"7","3"
2012,33310,"6","2"
2012,33314,"12","3"
2012,33316,"10","3"
2012,33317,"10","1"
2012,33321,"7","2"
2012,33322,"6","1"
2012,33325,"8","2"
2012,33328,"6","3"
2012,33337,"8","1"
2012,33341,"6","3"
2012,33343,"7","3"
2012,33346,"20","3"
2012,33347,"10","3"
2012,33350,"8","4"
2012,33353,"7","3"
2012,33356,"6","3"
2012,33358,"8","3"
2012,33359,"6","3"
2012,33361,"6","4"
2012,33362,"8","3"
2012,33366,"3","3"
2012,33367,"6","3"
2012,33368,"7","2"
2012,33369,"12","3"
2012,33373,"11","2"
2012,33374,"8","3"
2012,33376,"7","4"
2012,33377,"5","3"
2012,33379,"8","4"
2012,33382,"7","3"
2012,33383,"12","3"
2012,33384,"6","2"
2012,33391,"7","3"
2012,33392,"5","3"
2012,33399,"10","1"
2012,33400,"6","1"
2012,33403,"8","1"
2012,33404,"6","1"
2012,33408,"7","3"
2012,33411,"7","2"
2012,33412,"13","2"
2012,33413,"6","2"
2012,33414,"10","2"
2012,33415,"6","2"
